Source,Target,Type,Id,Label,Weight
53e99800b7602d9702010d0a,53e9ba8fb7602d97046b324b,Directed,4502,,1
53e99800b7602d9702010d0a,53e9a223b7602d9702b25f95,Directed,4505,,1
53e99809b7602d97020206cd,53e9a797b7602d97030d0e95,Directed,5060,,1
53e99809b7602d97020206cd,53e9bcefb7602d97049756df,Directed,5067,,1
53e99809b7602d97020206cd,53e9ab4fb7602d97034e3d49,Directed,5069,,1
53e99809b7602d97020206cd,53e9b21ab7602d9703cb3781,Directed,5070,,1
53e99809b7602d97020206cd,53e9ab5fb7602d97034f6761,Directed,5072,,1
53e99809b7602d97020206cd,53e9ac19b7602d97035dc245,Directed,5073,,1
53e99809b7602d97020206cd,53e9af61b7602d97039a640a,Directed,5074,,1
53e9980eb7602d9702027250,53e9bdb8b7602d9704a641c8,Directed,5358,,1
53e99813b7602d970202b769,53e998b0b7602d97020ebfc2,Directed,5491,,1
53e99813b7602d970202b769,53e9993fb7602d9702179a34,Directed,5492,,1
53e99818b7602d9702036fdd,53e9adcdb7602d97037d3d5d,Directed,6203,,1
53e99818b7602d9702036fdd,53e9b7cdb7602d970437b0fc,Directed,6210,,1
53e9981db7602d970203861e,53e9a060b7602d9702946719,Directed,6235,,1
53e9981db7602d970203861e,53e9a0d9b7602d97029c2fbe,Directed,6236,,1
53e9981db7602d970203c7e4,53e9bdd4b7602d9704a81fe9,Directed,6382,,1
53e9981db7602d970203c4d1,53e9b740b7602d97042dbd46,Directed,6400,,1
53e9981db7602d970203c4d1,558b06c4e4b031bae1fb190c,Directed,6408,,1
53e99821b7602d970203e8b5,53e9ab00b7602d97034839fa,Directed,6462,,1
53e99821b7602d970203e8b5,53e9b077b7602d9703ae15fe,Directed,6463,,1
53e99821b7602d970203f32c,53e99c12b7602d97024bda10,Directed,6465,,1
53e99821b7602d970203f32c,53e9ad8db7602d970378876b,Directed,6473,,1
53e99821b7602d9702040c6a,53e99cd8b7602d970258cd3f,Directed,6502,,1
53e99821b7602d9702040c6a,53e9a5f0b7602d9702f1b884,Directed,6506,,1
